"attribute_0","id","price","bedrooms","bathrooms","sqm_living","sqm_lot","floors","waterfront","view","condition","grade","sqm_above","sqm_basement","yr_built","yr_renovated","zipcode","lat","long","sqm_living15","sqm_lot15","age"
0,7129300520,12.3099821089207,3,1,4.69707080712042,6.26321191380119,"1","0","0","3",7,109.6255872,0,1955,0,98178,47.5112,-122.257,124.4900736,514.03252032,60
2,5631500400,12.1007121298723,2,1,4.27019160450844,6.83414146163689,"1","0","0","3",6,71.5353408,0,1933,0,98028,47.7379,-122.233,252.6962688,676.05542208,82
11,9212900260,13.0562235748998,2,1,4.67997637376112,6.3233158378709,"1","0","0","4",7,79.8966144,27.870912,1942,0,98115,47.69,-122.292,123.5610432,536.42215296,73
14,1175000570,13.1806322855283,5,2,5.12488321392058,6.11053507359224,"1.5","0","0","3",7,168.1545024,0,1900,0,98107,47.67,-122.394,126.3481344,461.63520576,115
18,16000397,12.1495022940418,2,1,4.7138779254368,6.81902782382684,"1","0","0","4",7,111.483648,0,1921,0,98002,47.3089,-122.21,98.4772224,477.33581952,94
22,7137970340,12.5602444592508,5,2.5,5.35133620013616,6.37210600204033,"2","0","0","3",8,210.8899008,0,1995,0,98092,47.3266,-122.169,208.1028096,598.20267456,20
24,3814700200,12.7038130297475,3,2.25,5.42764439319948,6.40335854554444,"2","0","0","4",8,227.612448,0,1985,0,98030,47.3739,-122.172,204.386688,590.12011008,30
33,7589200193,13.1900220258781,3,1,4.6177340648839,5.63016865731096,"1.5","0","0","4",8,101.2643136,0,1929,0,98117,47.6889,-122.375,145.8577728,476.31388608,86
36,9435300030,13.2176735572087,4,1,5.0383739710113,8.0825521153934,"1","0","0","1",5,86.3998272,67.8192192,1933,0,98052,47.6621,-122.132,200.6705664,73.76501376,82
40,5547700270,13.3455069287185,4,2.5,5.47546226754997,6.23993422893185,"2","0","0","3",9,238.7608128,0,2000,0,98074,47.6145,-122.027,229.4705088,515.42606592,15
44,1432701230,12.6410965558799,3,1,4.77841644657437,6.79913585243808,"1","0","0","4",6,85.4707968,33.4450944,1959,0,98058,47.4485,-122.175,124.4900736,732.63337344,56
46,8945200830,12.2571934250379,3,1,4.52150603278934,6.67491123606633,"1","0","0","3",6,91.9740096,0,1966,0,98023,47.3066,-122.371,114.08493312,735.14175552,49
55,9822700295,13.6933429239901,4,2.5,5.57183308029799,6.14099428107695,"2","0","0","3",9,262.9156032,0,1995,0,98105,47.6597,-122.29,181.160928,470.46099456,20
58,7922800400,13.7652693415275,5,3.25,5.71021136498449,7.19474866410323,"2","0","4","4",8,301.93488,0,1968,0,98008,47.588,-122.116,274.9929984,56.57795136,47
62,5072410070,13.1323137082575,3,1.75,5.45541836601332,6.69372930792015,"2","0","0","5",8,234.02275776,0,1973,0,98166,47.4428,-122.344,232.2576,775.740384,42
66,3394100030,13.79019274998,4,2.5,5.53218824895075,6.93389629477388,"2","0","0","3",10,252.6962688,0,1989,0,98004,47.5815,-122.192,255.48336,56.76375744,26
68,1274500060,12.2258752728264,3,1,4.53155636864285,7.02227940375229,"1","0","0","4",7,92.90304,0,1968,0,98042,47.3621,-122.11,93.8320704,118.73008512,47
77,2391600320,13.0815413828841,3,1,4.57077708179613,6.15292285194222,"1","0","0","3",7,96.6191616,0,1941,0,98116,47.5636,-122.394,82.6837056,475.1990496,74
80,5104520400,12.8739020181058,3,2.5,5.38597169679891,6.16079690837313,"2","0","0","3",8,218.322144,0,2003,0,98038,47.3512,-122.008,218.322144,494.80159104,12
84,1133000671,12.6603279178078,3,1,4.49073437412259,6.42376430916771,"1","0","0","3",6,89.1869184,0,1952,0,98125,47.7264,-122.31,145.8577728,610.65168192,63
88,1332700270,12.2783933071098,2,2.25,5.00779054763922,5.24450617649897,"2","0","0","4",7,149.5738944,0,1979,0,98056,47.518,-122.194,181.160928,260.40722112,36
90,2791500270,12.4028722215048,4,2.5,5.21465321334929,6.53344169210381,"2","0","0","3",7,183.9480192,0,1988,0,98023,47.2897,-122.372,183.9480192,633.5987328,27
99,7338200240,12.9888319847798,3,2.5,5.37312355432106,8.13833057283794,"2","0","2","3",9,215.5350528,0,1992,0,98045,47.4838,-121.714,236.902752,356.00444928,23
102,7214720075,13.458764182903,3,2.25,5.31545791247125,9.20991195849223,"2","0","0","4",8,203.4576576,0,1983,0,98077,47.7731,-122.08,238.7608128,456.99005376,32
106,546000875,13.0389817684653,3,1,5.04437999507151,5.91909994916317,"1.5","0","0","4",7,108.6965568,46.45152,1939,0,98117,47.6878,-122.38,115.1997696,403.57080576,76
110,9545230140,13.3009278853206,4,2.5,5.36880389317655,6.79581634731522,"2","0","0","3",8,214.6060224,0,1984,0,98027,47.5386,-122.053,180.2318976,784.84488192,31
112,2525310310,12.5153938930854,3,1.75,4.96333878506838,7.06525318260028,"1","0","0","4",7,107.7675264,35.3031552,1980,0,98038,47.3624,-122.031,143.0706816,82.59080256,35
121,6675500070,12.877740794413,3,2,4.90311992507533,6.74334109731039,"1","0","0","3",7,134.709408,0,1987,0,98034,47.7288,-122.226,146.7868032,752.0501088,28
124,3275860240,13.5541457938299,3,2.25,5.59970944982625,6.85433616892241,"2","0","0","3",9,270.3478464,0,1990,0,98052,47.6897,-122.098,250.838208,156.82033152,25
128,2331300505,13.6201037616217,5,3.5,5.37312355432106,6.13296210937968,"2","0","0","5",7,159.7932288,55.741824,1926,0,98103,47.6763,-122.352,157.935168,468.2313216,89
132,1243100136,13.5721642993325,3,3.5,5.90527194755588,9.24178902587794,"1.5","0","0","3",9,228.5414784,138.4255296,1989,0,98052,47.697,-122.072,230.3995392,736.256592,26
134,2767602356,13.4224679698547,4,3.5,5.29236219767661,5.35485423366784,"3","0","0","3",9,198.8125056,0,2005,0,98107,47.6734,-122.38,143.0706816,287.34910272,10
