"attribute_0","id","price","bedrooms","bathrooms","sqm_living","sqm_lot","floors","waterfront","view","condition","grade","sqm_above","sqm_basement","yr_built","yr_renovated","zipcode","lat","long","sqm_living15","sqm_lot15","age"
1,6414100192,13.1956138391439,3,2.25,5.47546226754997,6.51145377998629,"2","0","0","3",7,201.5995968,37.161216,1951,1991,98125,47.721,-122.319,157.0061376,644.09677632,24
3,2487200875,13.311329476917,4,3,5.20450084188527,6.14099428107695,"1","0","0","5",7,97.548192,84.5417664,1965,0,98136,47.5208,-122.393,126.3481344,470.46099456,50
4,1954400510,13.1421660047005,3,2,5.05035016205801,6.62094824117585,"1","0","0","3",8,156.0771072,0,1987,0,98074,47.6168,-122.045,167.225472,632.94841152,28
5,7237550310,14.018451401961,4,4.5,6.2216521840944,9.15584267182317,"1","0","0","3",11,361.3928256,142.1416512,2001,0,98053,47.6561,-122.005,442.2184704,13.28513472,14
6,1321400060,12.4587749990859,3,2.25,5.07096944926075,6.45126920218136,"2","0","0","3",7,159.3287136,0,1995,0,98003,47.3097,-122.327,207.91700352,587.24011584,20
7,2008000270,12.5839952506319,3,1.5,4.58982527676682,6.80481563225506,"1","0","0","3",7,98.4772224,0,1963,0,98198,47.4095,-122.315,153.290016,790.23325824,52
8,2414600126,12.3436583084827,3,1,5.10816973294684,6.54245136778757,"1","0","0","3",7,97.548192,67.8192192,1960,0,98146,47.5123,-122.337,165.3674112,680.60767104,55
9,3793500160,12.6854076022048,3,2.5,5.1681331977144,6.41254697159884,"2","0","0","3",7,175.5867456,0,2003,0,98038,47.3684,-122.031,222.0382656,638.52259392,12
10,1736800520,13.4037758368425,3,2.5,5.80131691350678,6.81353050773277,"1","0","0","3",8,172.7996544,157.935168,1965,0,98007,47.6007,-122.145,205.3157184,741.3662592,50
12,114101516,12.6443275764613,3,1,4.88923081291466,7.52232635036702,"1.5","0","0","4",7,132.8513472,0,1927,0,98028,47.7558,-122.229,165.3674112,120.58814592,88
13,6054650070,12.8992198260901,3,1.75,4.84636710848288,6.80161826993133,"1","0","0","4",7,127.2771648,0,1977,0,98074,47.6127,-122.045,127.2771648,13.935456,38
15,9297300055,13.3847276418718,4,3,5.61336153899457,6.14099428107695,"2","0","3","3",9,183.9480192,90.1159488,1979,0,98126,47.5714,-122.375,198.8125056,403.10629056,36
16,1875500060,12.8866410438833,3,2,5.1681331977144,7.17346676724051,"2","0","0","3",7,175.5867456,0,1994,0,98019,47.7277,-121.962,175.5867456,157.56355584,21
17,6865200140,13.0919041699196,4,1,5.00155999788858,5.99017139134236,"1.5","0","0","4",7,148.644864,0,1916,0,98103,47.6648,-122.343,149.5738944,425.58882624,99
19,7983200060,12.3458345879053,3,1,4.75469991995705,6.81128216749081,"1","0","0","4",7,116.1288,0,1969,0,98003,47.3343,-122.306,118.9158912,736.16368896,46
20,6300500875,12.8609986132699,4,1.75,5.01398251788714,6.13698625967941,"1","0","0","4",7,79.8966144,70.6063104,1947,0,98133,47.7025,-122.341,130.064256,469.43906112,68
21,2524049179,14.5086577385242,3,2.75,5.64669795926217,8.33525892657827,"1","0","4","3",9,216.4640832,66.8901888,1968,0,98040,47.5316,-122.233,381.8314944,261.70786368,47
23,8091400200,12.4399582933763,2,1.5,4.59921501711666,6.79778863217109,"1","0","0","3",7,99.4062528,0,1985,0,98030,47.3533,-122.166,113.3417088,701.04633984,30
25,1202000200,12.3587937325478,3,2,5.06804973915741,6.0784803756877,"1.5","0","0","5",6,158.8641984,0,1941,0,98002,47.3048,-122.218,95.6901312,453.18102912,74
26,1794500383,13.7504385612206,3,1.75,5.42764439319948,5.52146924038761,"2","0","0","3",8,162.58032,65.032128,1915,0,98119,47.6386,-122.36,163.5093504,365.20185024,100
27,3303700376,13.4105453248978,3,1,4.86802860526406,4.98961392687018,"1.5","0","0","5",8,130.064256,0,1909,0,98112,47.6221,-122.314,172.7996544,392.79405312,106
28,5101402488,12.9899741893586,3,1.75,4.95026670350103,6.38472446599954,"1","0","0","3",7,73.3934016,67.8192192,1948,0,98115,47.695,-122.304,141.2126208,552.40147584,67
29,1873100390,13.4856166367032,4,2.5,5.47546226754997,6.50188034578714,"2","0","0","3",8,238.7608128,0,2005,0,98052,47.7073,-122.11,244.3349952,538.74472896,10
30,8562750320,13.2716450801201,3,2.5,5.37312355432106,5.91283818793919,"2","0","0","3",8,215.5350528,0,2003,0,98027,47.5391,-122.07,239.6898432,401.52693888,12
31,2426039314,12.5425448821514,2,1.5,4.70550967576628,4.76662849082233,"3","0","0","3",7,110.5546176,0,2005,0,98133,47.7274,-122.357,129.1352256,227.1479328,10
32,461000390,13.4408171085229,4,1.75,5.37742463622045,6.14099428107695,"1.5","0","0","4",7,140.2835904,76.1804928,1929,0,98117,47.6823,-122.368,135.6384384,470.46099456,86
34,7955080270,12.683858415218,4,2.75,5.25426235144434,6.42752569177133,"1","0","0","3",7,118.9158912,72.4643712,1981,0,98058,47.4276,-122.157,187.6641408,726.40886976,34
35,9547205180,13.4531049393166,3,2.5,5.36446549157795,5.64997128460714,"1.5","0","0","3",8,140.2835904,73.3934016,1930,2002,98115,47.6827,-122.31,147.7158336,341.418672,13
37,2768000400,13.3692234553359,4,2,5.39021798768036,6.3233158378709,"2","0","0","4",8,219.2511744,0,1904,0,98107,47.6702,-122.362,160.7222592,452.90232,111
38,7895500070,12.3883942023241,4,1,4.73040722738801,6.62032923775157,"1","0","0","2",7,82.6837056,30.6580032,1969,0,98001,47.3341,-122.282,119.8449216,656.26707456,46
39,2078500320,13.312983737013,4,2.5,5.49473068641585,6.55350120397416,"2","0","0","3",8,243.4059648,0,1996,0,98056,47.5301,-122.18,243.4059648,90.95207616,19
41,7766200013,13.5606183083355,4,2.25,5.97139149669077,7.71733032200593,"1","0","0","3",8,241.547904,150.5029248,1984,0,98166,47.445,-122.347,223.8963264,331.38514368,31
42,7203220400,13.6669989486505,5,2.75,5.81110035981586,6.26126311346789,"2","0","0","3",9,333.9864288,0,2014,0,98053,47.6848,-122.016,336.77352,513.38219904,1
43,9270200160,13.4371741172444,3,1,4.98263198800306,5.35573181160919,"2","0","0","3",7,145.8577728,0,1922,0,98119,47.6413,-122.364,146.7868032,308.62389888,93
45,8035350320,13.0980706848353,3,2.5,5.68212839624167,7.14184672529414,"2","0","0","3",8,293.5736064,0,2003,0,98019,47.7443,-121.977,283.354272,760.59718848,12
47,4178300310,13.5734389967645,4,2.5,5.36010818620899,7.12800439316375,"2","0","0","4",9,212.7479616,0,1981,0,98007,47.6194,-122.151,248.9801472,149.85260352,34
48,9215400105,13.0170028617465,3,1.75,4.75469991995705,6.31713007878381,"1","0","0","4",7,116.1288,0,1953,0,98115,47.6796,-122.301,90.1159488,477.89323776,62
49,822039084,14.1156151504146,3,2.5,5.54424759480332,8.70602055865698,"1","1","2","5",9,201.1350816,54.62698752,1953,0,98070,47.4041,-122.451,248.9801472,614.5536096,62
50,5245600105,12.3371009079366,3,1,4.70550967576628,6.75065115113787,"1","0","0","3",7,110.5546176,0,1955,0,98148,47.4258,-122.322,110.5546176,767.93652864,60
51,7231300125,12.7512996960135,5,2.5,5.67895882148039,6.74356008340565,"1","0","0","4",8,152.3609856,140.2835904,1966,0,98056,47.4934,-122.189,184.8770496,754.09397568,49
52,7518505990,13.3046849341983,3,1.75,4.87514607303292,5.93765335705892,"1","0","0","4",7,92.90304,38.0902464,1950,0,98117,47.6808,-122.384,130.9932864,409.14498816,65
53,3626039271,13.279367126214,2,1.75,5.21465321334929,6.67748765159151,"1","0","0","3",7,91.9740096,91.9740096,1981,0,98117,47.6989,-122.369,137.4964992,582.0375456,34
54,4217401195,13.7321289490252,5,2.25,5.53585797783971,6.3233158378709,"1.5","0","0","3",8,197.8834752,55.741824,1927,0,98105,47.6571,-122.281,253.6252992,536.42215296,88
56,9478500640,12.586219945654,4,2.5,5.34248658485917,6.03452203656643,"2","0","0","3",7,209.03184,0,2008,0,98042,47.3663,-122.114,209.03184,439.15267008,7
